
Host: moses-razer

Timers On : Thu Dec 28 16:19:32 2023
Timers Off: Thu Dec 28 16:19:36 2023

Wall Time:        3.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.033u      0.033s      0.108w      3 calls
Libint2ERI::Libint2ERI              :      3.900u      0.100s      0.397w     60 calls
DFH: initialize()                   :      1.467u      0.233s      0.170w      3 calls
DFH: AO Construction                :      0.200u      0.000s      0.022w      3 calls
DFH: AO-Met. Contraction            :      0.083u      0.000s      0.008w      3 calls
HF: Form core H                     :      0.067u      0.000s      0.006w      3 calls
HF: Form S/X                        :      0.033u      0.000s      0.003w      3 calls
HF: Guess                           :      1.867u      0.133s      0.199w      3 calls
SAD Guess                           :      1.817u      0.133s      0.193w      3 calls
HF: Form G                          :      0.133u      0.000s      0.023w     24 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.117u      0.000s      0.022w     24 calls
DFH: compute_JK()                   :      0.117u      0.000s      0.021w     24 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      0.033u      0.000s      0.010w     24 calls
DFH: compute_K                      :      0.067u      0.000s      0.010w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.001w     24 calls
HF: Form D                          :      0.033u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.700u      0.033s      0.169w     21 calls
HF: Form C                          :      0.200u      0.000s      0.025w     21 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      2.950u      0.083s      0.303w      3 calls
DFMP2 (A|mn)                        :      0.167u      0.000s      0.023w      3 calls
DFMP2 (A|mn)C_mi                    :      0.067u      0.000s      0.002w      3 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.001w      3 calls
DFMP2 Aia Write                     :      0.033u      0.000s      0.001w      3 calls
DFMP2 Bia                           :      0.283u      0.017s      0.030w      3 calls
DFMP2 Metric                        :      0.250u      0.017s      0.027w      3 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.001w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.000u      0.000s      0.001w      3 calls
DFMP2 Bia Write                     :      0.000u      0.000s      0.001w      3 calls
DFMP2 Energy                        :      0.033u      0.000s      0.002w      3 calls
DFMP2 Bia Read                      :      0.033u      0.000s      0.000w      6 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.033u      0.033s      0.108w      3 calls
| Libint2ERI::Libint2ERI            :      0.717u      0.033s      0.076w      3 calls
DFH: initialize()                   :      1.467u      0.233s      0.170w      3 calls
| Libint2ERI::Libint2ERI            :      0.650u      0.017s      0.065w     21 calls
| DFH: AO Construction              :      0.200u      0.000s      0.022w      3 calls
| DFH: AO-Met. Contraction          :      0.083u      0.000s      0.008w      3 calls
HF: Form core H                     :      0.067u      0.000s      0.006w      3 calls
HF: Form S/X                        :      0.033u      0.000s      0.003w      3 calls
HF: Guess                           :      1.867u      0.133s      0.199w      3 calls
| SAD Guess                         :      1.817u      0.133s      0.193w      3 calls
HF: Form G                          :      0.133u      0.000s      0.023w     24 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.117u      0.000s      0.022w     24 calls
| | DFH: compute_JK()               :      0.117u      0.000s      0.021w     24 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.010w     24 calls
| | | DFH: compute_K                :      0.067u      0.000s      0.010w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.001w     24 calls
HF: Form D                          :      0.033u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.700u      0.033s      0.169w     21 calls
HF: Form C                          :      0.200u      0.000s      0.025w     21 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      2.950u      0.083s      0.303w      3 calls
| Libint2ERI::Libint2ERI            :      2.500u      0.050s      0.256w     18 calls
| DFMP2 (A|mn)                      :      0.167u      0.000s      0.023w      3 calls
| DFMP2 (A|mn)C_mi                  :      0.067u      0.000s      0.002w      3 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.001w      3 calls
| DFMP2 Aia Write                   :      0.033u      0.000s      0.001w      3 calls
DFMP2 Bia                           :      0.283u      0.017s      0.030w      3 calls
