Filename                           Electrostatics             VdW    Polarization          AMOEBA
001_Li-F_0.80                         -262.019589      217.747072      -92.405467     -136.677984
001_Li-F_0.90                         -232.906383      104.112633      -58.049002     -186.842752
001_Li-F_0.95                         -220.648111       73.224804      -46.512705     -193.936012
001_Li-F_1.00                         -209.615671       51.870403      -37.658290     -195.403558
001_Li-F_1.05                         -199.633942       36.889264      -30.812582     -193.557261
001_Li-F_1.10                         -190.559646       26.253466      -25.463432     -189.769612
001_Li-F_1.20                         -174.679726       13.151181      -17.856624     -179.385170
001_Li-F_1.30                         -161.242863        6.350162      -12.905073     -167.797774
001_Li-F_1.40                         -149.725479        2.872775       -9.563930     -156.416635
001_Li-F_1.50                         -139.743810        1.166343       -7.240813     -145.818280
001_Li-F_2.00                         -104.807835       -0.110755       -2.278718     -107.197309
002_Li-Cl_0.80                        -204.493129      162.371601      -99.358333     -141.479861
002_Li-Cl_0.90                        -181.771745       76.041739      -61.763180     -167.493186
002_Li-Cl_0.95                        -172.204796       52.725713      -49.523649     -169.002732
002_Li-Cl_1.00                        -163.594543       36.690836      -40.173339     -167.077046
002_Li-Cl_1.05                        -155.804316       25.523648      -32.941395     -163.222063
002_Li-Cl_1.10                        -148.722292       17.678615      -27.276473     -158.320150
002_Li-Cl_1.20                        -136.328809        8.239414      -19.187044     -147.276439
002_Li-Cl_1.30                        -125.841961        3.592902      -13.896163     -136.145222
002_Li-Cl_1.40                        -116.853237        1.398482      -10.314012     -125.768767
002_Li-Cl_1.50                        -109.063047        0.428756       -7.817322     -116.451612
002_Li-Cl_2.00                         -81.797272       -0.099662       -2.466694      -84.363628
003_Li-Br_0.80                        -191.216284      156.193324     -106.725627     -141.748588
003_Li-Br_0.90                        -169.969976       72.656641      -66.327392     -163.640726
003_Li-Br_0.95                        -161.024244       50.141133      -53.204224     -164.087336
003_Li-Br_1.00                        -152.973010       34.685750      -43.177355     -161.464614
003_Li-Br_1.05                        -145.688562       23.951637      -35.418220     -157.155145
003_Li-Br_1.10                        -139.066396       16.440918      -29.336902     -151.962380
003_Li-Br_1.20                        -127.477498        7.481908      -20.646459     -140.642049
003_Li-Br_1.30                        -117.671554        3.152696      -14.958226     -129.477084
003_Li-Br_1.40                        -109.266421        1.160771      -11.104987     -119.210637
003_Li-Br_1.50                        -101.982006        0.309780       -8.418327     -110.090553
003_Li-Br_2.00                         -76.486505       -0.099213       -2.657495      -79.243213
004_Na-F_0.80                         -214.004909      190.409471      -45.211665      -68.807103
004_Na-F_0.90                         -190.226586       85.455145      -28.617860     -133.389301
004_Na-F_0.95                         -180.214660       57.488517      -22.885865     -145.612008
004_Na-F_1.00                         -171.203927       38.515353      -18.466458     -151.155032
004_Na-F_1.05                         -163.051359       25.564297      -15.053061     -152.540123
004_Na-F_1.10                         -155.639934       16.722821      -12.395885     -151.312998
004_Na-F_1.20                         -142.669939        6.695223       -8.642612     -144.617328
004_Na-F_1.30                         -131.695329        2.312654       -6.219879     -135.602553
004_Na-F_1.40                         -122.288520        0.551030       -4.595432     -126.332922
004_Na-F_1.50                         -114.135952       -0.074981       -3.471223     -117.682155
004_Na-F_2.00                          -85.601964       -0.134107       -1.086195      -86.822266
005_Na-Cl_0.80                        -175.131515      151.402553      -55.295421      -79.024383
005_Na-Cl_0.90                        -155.672403       65.299099      -34.930466     -125.303770
005_Na-Cl_0.95                        -147.479130       42.696030      -27.991550     -132.774650
005_Na-Cl_1.00                        -140.105182       27.606711      -22.648707     -135.147178
005_Na-Cl_1.05                        -133.433515       17.542080      -18.515210     -134.406645
005_Na-Cl_1.10                        -127.368362       10.881624      -15.287400     -131.774138
005_Na-Cl_1.20                        -116.754302        3.753912      -10.704821     -123.705211
005_Na-Cl_1.30                        -107.773214        0.957224       -7.728346     -114.544336
005_Na-Cl_1.40                        -100.075136       -0.013014       -5.723185     -105.811336
005_Na-Cl_1.50                         -93.403468       -0.279517       -4.330610      -98.013596
005_Na-Cl_2.00                         -70.052591       -0.112876       -1.361035      -71.526502
006_Na-Br_0.80                        -165.096831      150.472738      -60.678790      -75.302883
006_Na-Br_0.90                        -146.752730       63.987980      -38.374432     -121.139183
006_Na-Br_0.95                        -139.028899       41.419175      -30.774723     -128.384447
006_Na-Br_1.00                        -132.077451       26.447931      -24.919020     -130.548541
006_Na-Br_1.05                        -125.788047       16.549594      -20.384749     -129.623202
006_Na-Br_1.10                        -120.070406       10.073529      -16.840748     -126.837625
006_Na-Br_1.20                        -110.064536        3.282317      -11.803307     -118.585525
006_Na-Br_1.30                        -101.598030        0.714755       -8.527021     -109.410296
006_Na-Br_1.40                         -94.341026       -0.128569       -6.317710     -100.787304
006_Na-Br_1.50                         -88.051646       -0.332654       -4.782228      -93.166528
006_Na-Br_2.00                         -66.038726       -0.113907       -1.504360      -67.656993
007_K-F_0.80                          -190.825422      190.998199      -34.956341      -34.783564
007_K-F_0.90                          -169.622597       84.897606      -26.242632     -110.967623
007_K-F_0.95                          -160.695092       56.720873      -21.998661     -125.972881
007_K-F_1.00                          -152.660338       37.674480      -18.225372     -133.211230
007_K-F_1.05                          -145.390798       24.742197      -15.024526     -135.673127
007_K-F_1.10                          -138.782125       15.977814      -12.390045     -135.194356
007_K-F_1.20                          -127.216948        6.176789       -8.545873     -129.586032
007_K-F_1.30                          -117.431029        2.005788       -6.061110     -121.486351
