Filename                                   AMOEBA
016_Li-2Water_0.90                     -61.507849
016_Li-2Water_0.95                     -64.785927
016_Li-2Water_1.00                     -64.956257
016_Li-2Water_1.05                     -63.315641
016_Li-2Water_1.10                     -60.646600
016_Li-2Water_1.20                     -53.985583
016_Li-2Water_1.30                     -47.103927
016_Li-2Water_1.40                     -40.853336
016_Li-2Water_1.50                     -35.492617
016_Li-2Water_2.00                     -19.352040
017_Na-2Water_0.90                     -38.266653
017_Na-2Water_0.95                     -43.288648
017_Na-2Water_1.00                     -44.845234
017_Na-2Water_1.05                     -44.319711
017_Na-2Water_1.10                     -42.600760
017_Na-2Water_1.20                     -37.676352
017_Na-2Water_1.30                     -32.542746
017_Na-2Water_1.40                     -28.020064
017_Na-2Water_1.50                     -24.250652
017_Na-2Water_2.00                     -13.234260
018_K-2Water_0.90                      -24.136753
018_K-2Water_0.95                      -30.522423
018_K-2Water_1.00                      -33.198072
018_K-2Water_1.05                      -33.629218
018_K-2Water_1.10                      -32.756971
018_K-2Water_1.20                      -29.300675
018_K-2Water_1.30                      -25.396923
018_K-2Water_1.40                      -21.892898
018_K-2Water_1.50                      -18.957713
018_K-2Water_2.00                      -10.365666
019_F-2Water_0.90                      -27.704643
019_F-2Water_0.95                      -37.531313
019_F-2Water_1.00                      -44.490058
019_F-2Water_1.05                      -48.996599
019_F-2Water_1.10                      -51.456962
019_F-2Water_1.20                      -51.747159
019_F-2Water_1.30                      -48.089216
019_F-2Water_1.40                      -42.641100
019_F-2Water_1.50                      -36.843761
019_F-2Water_2.00                      -16.725040
020_Cl-2Water_0.90                     -25.348294
020_Cl-2Water_0.95                     -30.428075
020_Cl-2Water_1.00                     -32.566303
020_Cl-2Water_1.05                     -32.744455
020_Cl-2Water_1.10                     -31.704423
020_Cl-2Water_1.20                     -27.942436
020_Cl-2Water_1.30                     -23.746068
020_Cl-2Water_1.40                     -20.013889
020_Cl-2Water_1.50                     -16.941002
020_Cl-2Water_2.00                      -8.559514
021_Br-2Water_0.90                     -20.427465
021_Br-2Water_0.95                     -26.023521
021_Br-2Water_1.00                     -28.534425
021_Br-2Water_1.05                     -29.017825
021_Br-2Water_1.10                     -28.254042
021_Br-2Water_1.20                     -25.008058
021_Br-2Water_1.30                     -21.283435
021_Br-2Water_1.40                     -17.964013
021_Br-2Water_1.50                     -15.238542
021_Br-2Water_2.00                      -7.847885
076_LiF-Li_1.00                       -241.062128
076_LiF-Li_1.10                       -242.997010
076_LiF-Li_1.20                       -239.664815
076_LiF-Li_1.30                       -234.639528
076_LiF-Li_1.40                       -229.357076
076_LiF-Li_1.50                       -224.421951
076_LiF-Li_2.00                       -208.605875
077_LiF-F_1.00                        -187.001795
077_LiF-F_1.10                        -202.552194
077_LiF-F_1.20                        -209.048924
077_LiF-F_1.30                        -211.059712
077_LiF-F_1.40                        -210.807157
077_LiF-F_1.50                        -209.493622
077_LiF-F_2.00                        -202.004017
078_LiCl-Li_1.00                      -217.809352
078_LiCl-Li_1.10                      -214.834272
078_LiCl-Li_1.20                      -209.210195
078_LiCl-Li_1.30                      -203.140976
078_LiCl-Li_1.40                      -197.480408
078_LiCl-Li_1.50                      -192.549592
078_LiCl-Li_2.00                      -178.168293
079_LiCl-Cl_1.00                      -164.902003
079_LiCl-Cl_1.10                      -174.648333
079_LiCl-Cl_1.20                      -178.214537
