Filename                                 MP2/aVTZ
001_Li-F_0.80                         -148.796382
001_Li-F_0.90                         -174.742531
001_Li-F_0.95                         -179.395419
001_Li-F_1.00                         -180.798657
001_Li-F_1.05                         -180.011574
001_Li-F_1.10                         -177.763584
001_Li-F_1.20                         -170.749784
001_Li-F_1.30                         -162.214554
001_Li-F_1.40                         -153.339497
001_Li-F_1.50                         -144.678491
001_Li-F_2.00                         -109.309794
002_Li-Cl_0.80                        -119.247179
002_Li-Cl_0.90                        -145.249637
002_Li-Cl_0.95                        -150.021394
002_Li-Cl_1.00                        -151.566828
002_Li-Cl_1.05                        -150.941578
002_Li-Cl_1.10                        -148.875980
002_Li-Cl_1.20                        -142.294719
002_Li-Cl_1.30                        -134.285301
002_Li-Cl_1.40                        -126.023633
002_Li-Cl_1.50                        -118.052854
002_Li-Cl_2.00                         -86.772023
003_Li-Br_0.80                        -110.222902
003_Li-Br_0.90                        -137.111909
003_Li-Br_0.95                        -142.242514
003_Li-Br_1.00                        -144.090049
003_Li-Br_1.05                        -143.718925
003_Li-Br_1.10                        -141.869503
003_Li-Br_1.20                        -135.638935
003_Li-Br_1.30                        -127.907954
003_Li-Br_1.40                        -119.882057
003_Li-Br_1.50                        -112.124815
003_Li-Br_2.00                         -81.828933
004_Na-F_0.80                         -106.748765
004_Na-F_0.90                         -140.872947
004_Na-F_0.95                         -146.999768
004_Na-F_1.00                         -149.174711
004_Na-F_1.05                         -148.830506
004_Na-F_1.10                         -146.905207
004_Na-F_1.20                         -140.547631
004_Na-F_1.30                         -132.848421
004_Na-F_1.40                         -124.970832
004_Na-F_1.50                         -117.408957
004_Na-F_2.00                          -87.783097
005_Na-Cl_0.80                         -89.962023
005_Na-Cl_0.90                        -120.915623
005_Na-Cl_0.95                        -126.551574
005_Na-Cl_1.00                        -128.551946
005_Na-Cl_1.05                        -128.224646
005_Na-Cl_1.10                        -126.429352
005_Na-Cl_1.20                        -120.472686
005_Na-Cl_1.30                        -113.252154
005_Na-Cl_1.40                        -105.915640
005_Na-Cl_1.50                         -98.950779
005_Na-Cl_2.00                         -72.610833
006_Na-Br_0.80                         -85.640853
006_Na-Br_0.90                        -115.767546
006_Na-Br_0.95                        -121.281811
006_Na-Br_1.00                        -123.259104
006_Na-Br_1.05                        -122.968699
006_Na-Br_1.10                        -121.233212
006_Na-Br_1.20                        -115.412384
006_Na-Br_1.30                        -108.340272
006_Na-Br_1.40                        -101.160449
006_Na-Br_1.50                         -94.357631
006_Na-Br_2.00                         -68.824933
007_K-F_0.80                           -91.339694
007_K-F_0.90                          -126.262233
007_K-F_0.95                          -132.777690
007_K-F_1.00                          -135.195724
007_K-F_1.05                          -134.981466
007_K-F_1.10                          -133.114138
007_K-F_1.20                          -126.810142
007_K-F_1.30                          -119.298197
007_K-F_1.40                          -111.819206
007_K-F_1.50                          -104.786274
007_K-F_2.00                           -78.004158
008_K-Cl_0.80                          -67.745378
008_K-Cl_0.90                         -104.472943
008_K-Cl_0.95                         -111.547968
008_K-Cl_1.00                         -114.460536
008_K-Cl_1.05                         -114.716454
008_K-Cl_1.10                         -113.311450
008_K-Cl_1.20                         -107.930338
008_K-Cl_1.30                         -101.289323
008_K-Cl_1.40                          -94.580495
008_K-Cl_1.50                          -88.258383
008_K-Cl_2.00                          -64.764938
009_K-Br_0.80                          -62.989936
009_K-Br_0.90                          -99.420781
009_K-Br_0.95                         -106.419558
009_K-Br_1.00                         -109.310559
009_K-Br_1.05                         -109.589171
009_K-Br_1.10                         -108.239852
009_K-Br_1.20                         -103.035324
009_K-Br_1.30                          -96.603950
009_K-Br_1.40                          -90.097520
009_K-Br_1.50                          -83.967680
009_K-Br_2.00                          -61.340618
010_Li-Water_0.80                      -14.076529
010_Li-Water_0.90                      -29.676606
010_Li-Water_0.95                      -32.471960
010_Li-Water_1.00                      -33.422661
010_Li-Water_1.05                      -33.195355
010_Li-Water_1.10                      -32.237202
010_Li-Water_1.20                      -29.229049
010_Li-Water_1.30                      -25.784877
010_Li-Water_1.40                      -22.492864
010_Li-Water_1.50                      -19.569122
010_Li-Water_2.00                      -10.428357
011_Na-Water_0.80                        4.966816
011_Na-Water_0.90                      -16.251392
011_Na-Water_0.95                      -20.343111
011_Na-Water_1.00                      -22.174708
011_Na-Water_1.05                      -22.618399
011_Na-Water_1.10                      -22.234309
011_Na-Water_1.20                      -20.282235
011_Na-Water_1.30                      -17.857691
011_Na-Water_1.40                      -15.534774
011_Na-Water_1.50                      -13.496158
011_Na-Water_2.00                       -7.267131
012_K-Water_0.80                        15.269224
012_K-Water_0.90                        -8.918890
012_K-Water_0.95                       -13.841441
012_K-Water_1.00                       -16.248138
012_K-Water_1.05                       -17.111241
012_K-Water_1.10                       -17.056442
012_K-Water_1.20                       -15.641231
012_K-Water_1.30                       -13.714479
012_K-Water_1.40                       -11.875473
012_K-Water_1.50                       -10.282278
012_K-Water_2.00                        -5.532013
013_F-Water_0.80                        20.946725
013_F-Water_0.90                       -23.430508
013_F-Water_0.95                       -29.499716
