Filename                                 MP2/aVTZ
016_Li-2Water_0.90                     -55.321435
016_Li-2Water_0.95                     -60.542187
016_Li-2Water_1.00                     -62.314186
016_Li-2Water_1.05                     -61.895167
016_Li-2Water_1.10                     -60.122982
016_Li-2Water_1.20                     -54.568499
016_Li-2Water_1.30                     -48.221204
016_Li-2Water_1.40                     -42.158287
016_Li-2Water_1.50                     -36.770056
016_Li-2Water_2.00                     -19.825603
017_Na-2Water_0.90                     -35.316064
017_Na-2Water_0.95                     -40.862945
017_Na-2Water_1.00                     -42.878015
017_Na-2Water_1.05                     -42.783971
017_Na-2Water_1.10                     -41.476534
017_Na-2Water_1.20                     -37.252955
017_Na-2Water_1.30                     -32.567933
017_Na-2Water_1.40                     -28.253471
017_Na-2Water_1.50                     -24.536741
017_Na-2Water_2.00                     -13.318103
018_K-2Water_0.90                      -18.769077
018_K-2Water_0.95                      -27.264545
018_K-2Water_1.00                      -31.201291
018_K-2Water_1.05                      -32.415170
018_K-2Water_1.10                      -32.053048
018_K-2Water_1.20                      -29.171044
018_K-2Water_1.30                      -25.523147
018_K-2Water_1.40                      -22.100164
018_K-2Water_1.50                      -19.155481
018_K-2Water_2.00                      -10.397852
019_F-2Water_0.90                      -47.593146
019_F-2Water_0.95                      -49.385824
019_F-2Water_1.00                      -50.105258
019_F-2Water_1.05                      -49.946810
019_F-2Water_1.10                      -49.097043
019_F-2Water_1.20                      -45.972473
019_F-2Water_1.30                      -41.791990
019_F-2Water_1.40                      -37.256990
019_F-2Water_1.50                      -32.789682
019_F-2Water_2.00                      -16.236780
020_Cl-2Water_0.90                     -25.751939
020_Cl-2Water_0.95                     -28.499906
020_Cl-2Water_1.00                     -29.543848
020_Cl-2Water_1.05                     -29.433094
020_Cl-2Water_1.10                     -28.575399
020_Cl-2Water_1.20                     -25.706016
020_Cl-2Water_1.30                     -22.362388
020_Cl-2Water_1.40                     -19.181953
020_Cl-2Water_1.50                     -16.400949
020_Cl-2Water_2.00                      -8.151365
021_Br-2Water_0.90                     -20.625128
021_Br-2Water_0.95                     -24.147279
021_Br-2Water_1.00                     -25.749380
021_Br-2Water_1.05                     -26.055873
021_Br-2Water_1.10                     -25.523842
021_Br-2Water_1.20                     -23.147598
021_Br-2Water_1.30                     -20.185738
021_Br-2Water_1.40                     -17.325877
021_Br-2Water_1.50                     -14.820832
021_Br-2Water_2.00                      -7.457882
076_LiF-Li_1.00                       -216.846103
076_LiF-Li_1.10                       -219.926627
076_LiF-Li_1.20                       -218.713152
076_LiF-Li_1.30                       -215.671158
076_LiF-Li_1.40                       -212.004563
076_LiF-Li_1.50                       -208.293139
076_LiF-Li_2.00                       -194.390421
077_LiF-F_1.00                        -204.082393
077_LiF-F_1.10                        -209.062477
077_LiF-F_1.20                        -209.389410
077_LiF-F_1.30                        -207.614896
077_LiF-F_1.40                        -205.014796
077_LiF-F_1.50                        -202.221698
077_LiF-F_2.00                        -191.436383
078_LiCl-Li_1.00                      -187.805352
078_LiCl-Li_1.10                      -189.659426
078_LiCl-Li_1.20                      -187.515285
078_LiCl-Li_1.30                      -183.820041
078_LiCl-Li_1.40                      -179.740264
078_LiCl-Li_1.50                      -175.814983
078_LiCl-Li_2.00                      -162.519879
079_LiCl-Cl_1.00                      -169.559478
079_LiCl-Cl_1.10                      -174.755768
079_LiCl-Cl_1.20                      -175.260218
079_LiCl-Cl_1.30                      -173.662183
079_LiCl-Cl_1.40                      -171.258343
079_LiCl-Cl_1.50                      -168.690126
079_LiCl-Cl_2.00                      -159.303247
080_LiBr-Li_1.00                      -179.432202
080_LiBr-Li_1.10                      -181.421560
080_LiBr-Li_1.20                      -179.320059
080_LiBr-Li_1.30                      -175.623563
080_LiBr-Li_1.40                      -171.530046
080_LiBr-Li_1.50                      -167.597298
080_LiBr-Li_2.00                      -154.464290
081_LiBr-Br_1.00                      -159.690089
081_LiBr-Br_1.10                      -165.444481
081_LiBr-Br_1.20                      -166.296489
081_LiBr-Br_1.30                      -164.920466
081_LiBr-Br_1.40                      -162.667890
081_LiBr-Br_1.50                      -160.213219
081_LiBr-Br_2.00                      -151.206664
082_NaF-Na_1.00                       -179.292876
082_NaF-Na_1.10                       -182.160686
082_NaF-Na_1.20                       -180.701641
082_NaF-Na_1.30                       -177.669777
082_NaF-Na_1.40                       -174.245903
082_NaF-Na_1.50                       -170.933918
082_NaF-Na_2.00                       -159.520683
083_NaF-F_1.00                        -175.469410
083_NaF-F_1.10                        -178.273871
083_NaF-F_1.20                        -176.943936
