Filename                                 TwoBody MP2/aVTZ      ThreeBody MP2/aVTZ
016_Li-2Water_0.90                             -59.884477                4.563042
016_Li-2Water_0.95                             -64.516955                3.974768
016_Li-2Water_1.00                             -65.755731                3.441545
016_Li-2Water_1.05                             -64.859948                2.964781
016_Li-2Water_1.10                             -62.666080                2.543098
016_Li-2Water_1.20                             -56.420832                1.852334
016_Li-2Water_1.30                             -49.558012                1.336808
016_Li-2Water_1.40                             -43.118657                0.960370
016_Li-2Water_1.50                             -37.459980                0.689924
016_Li-2Water_2.00                             -19.975000                0.149397
017_Na-2Water_0.90                             -37.491997                2.175933
017_Na-2Water_0.95                             -42.676317                1.813372
017_Na-2Water_1.00                             -44.395824                1.517809
017_Na-2Water_1.05                             -44.056909                1.272938
017_Na-2Water_1.10                             -42.544402                1.067868
017_Na-2Water_1.20                             -38.002393                0.749438
017_Na-2Water_1.30                             -33.091783                0.523850
017_Na-2Water_1.40                             -28.619835                0.366364
017_Na-2Water_1.50                             -24.794637                0.257895
017_Na-2Water_2.00                             -13.373384                0.055280
018_K-2Water_0.90                              -22.365038                3.595961
018_K-2Water_0.95                              -29.809747                2.545202
018_K-2Water_1.00                              -33.062216                1.860925
018_K-2Water_1.05                              -33.811604                1.396434
018_K-2Water_1.10                              -33.121662                1.068614
018_K-2Water_1.20                              -29.823732                0.652688
018_K-2Water_1.30                              -25.942403                0.419256
018_K-2Water_1.40                              -22.379287                0.279123
018_K-2Water_1.50                              -19.345525                0.190045
018_K-2Water_2.00                              -10.435655                0.037802
019_F-2Water_0.90                              -53.099687                5.506541
019_F-2Water_0.95                              -54.235063                4.849239
019_F-2Water_1.00                              -54.370629                4.265370
019_F-2Water_1.05                              -53.696311                3.749502
019_F-2Water_1.10                              -52.393031                3.295987
019_F-2Water_1.20                              -48.528411                2.555938
019_F-2Water_1.30                              -43.799608                2.007618
019_F-2Water_1.40                              -38.870780                1.613790
019_F-2Water_1.50                              -34.127240                1.337558
019_F-2Water_2.00                              -17.015030                0.778250
020_Cl-2Water_0.90                             -27.048281                1.296342
020_Cl-2Water_0.95                             -29.629030                1.129124
020_Cl-2Water_1.00                             -30.518701                0.974854
020_Cl-2Water_1.05                             -30.269165                0.836072
020_Cl-2Water_1.10                             -29.291088                0.715689
020_Cl-2Water_1.20                             -26.240261                0.534245
020_Cl-2Water_1.30                             -22.785900                0.423512
020_Cl-2Water_1.40                             -19.544778                0.362825
020_Cl-2Water_1.50                             -16.731993                0.331044
020_Cl-2Water_2.00                              -8.406656                0.255291
021_Br-2Water_0.90                             -21.501085                0.875957
021_Br-2Water_0.95                             -24.928887                0.781608
021_Br-2Water_1.00                             -26.432227                0.682846
021_Br-2Water_1.05                             -26.642668                0.586795
021_Br-2Water_1.10                             -26.023843                0.500001
021_Br-2Water_1.20                             -23.515589                0.367991
021_Br-2Water_1.30                             -20.477794                0.292056
021_Br-2Water_1.40                             -17.582697                0.256820
021_Br-2Water_1.50                             -15.064595                0.243763
021_Br-2Water_2.00                              -7.668986                0.211104
076_LiF-Li_1.00                               -214.181344               -2.664758
076_LiF-Li_1.10                               -218.200014               -1.726613
076_LiF-Li_1.20                               -217.879532               -0.833620
076_LiF-Li_1.30                               -215.636104               -0.035054
076_LiF-Li_1.40                               -212.646815                0.642252
076_LiF-Li_1.50                               -209.480238                1.187098
076_LiF-Li_2.00                               -196.494245                2.103824
077_LiF-F_1.00                                -230.729780               26.647387
077_LiF-F_1.10                                -233.216713               24.154236
077_LiF-F_1.20                                -231.449188               22.059778
077_LiF-F_1.30                                -227.732816               20.117920
077_LiF-F_1.40                                -223.303613               18.288817
077_LiF-F_1.50                                -218.787866               16.566168
077_LiF-F_2.00                                -200.973136                9.536753
078_LiCl-Li_1.00                              -187.668337               -0.137015
078_LiCl-Li_1.10                              -190.562934                0.903508
078_LiCl-Li_1.20                              -189.261121                1.745836
078_LiCl-Li_1.30                              -186.209407                2.389366
078_LiCl-Li_1.40                              -182.582994                2.842730
078_LiCl-Li_1.50                              -178.935527                3.120544
078_LiCl-Li_2.00                              -165.204982                2.685103
079_LiCl-Cl_1.00                              -200.269087               30.709609
079_LiCl-Cl_1.10                              -203.092430               28.336663
079_LiCl-Cl_1.20                              -201.212175               25.951956
079_LiCl-Cl_1.30                              -197.224505               23.562321
079_LiCl-Cl_1.40                              -192.483273               21.224930
079_LiCl-Cl_1.50                              -187.678947               18.988821
079_LiCl-Cl_2.00                              -169.417226               10.113979
080_LiBr-Li_1.00                              -180.141655                0.709453
080_LiBr-Li_1.10                              -183.158423                1.736863
080_LiBr-Li_1.20                              -181.875260                2.555201
080_LiBr-Li_1.30                              -178.787543                3.163980
080_LiBr-Li_1.40                              -175.102411                3.572365
080_LiBr-Li_1.50                              -171.393891                3.796593
080_LiBr-Li_2.00                              -157.519581                3.055291
081_LiBr-Br_1.00                              -192.350785               32.660696
081_LiBr-Br_1.10                              -195.583360               30.138879
081_LiBr-Br_1.20                              -193.897375               27.600886
081_LiBr-Br_1.30                              -189.967233               25.046768
081_LiBr-Br_1.40                              -185.207659               22.539769
081_LiBr-Br_1.50                              -180.350634               20.137416
081_LiBr-Br_2.00                              -161.851383               10.644720
082_NaF-Na_1.00                               -178.087891               -1.204984
082_NaF-Na_1.10                               -181.560987               -0.599699
082_NaF-Na_1.20                               -180.652966               -0.048674
082_NaF-Na_1.30                               -178.069947                0.400171
082_NaF-Na_1.40                               -174.981668                0.735764
082_NaF-Na_1.50                               -171.898363                0.964446
082_NaF-Na_2.00                               -160.546107                1.025424
083_NaF-F_1.00                                -188.193925               12.724515
083_NaF-F_1.10                                -190.345690               12.071819
083_NaF-F_1.20                                -188.203597               11.259661
083_NaF-F_1.30                                -184.511504               10.354087
083_NaF-F_1.40                                -180.445191                9.403340
083_NaF-F_1.50                                -176.511690                8.447451
083_NaF-F_2.00                                -162.503312                4.428412
