Filename                           Electrostatics        Exchange      Dispersion       Induction     SAPT2+/aVTZ
001_Li-F_0.80                         -240.145418      142.273250       -3.647505      -47.195230     -148.714903
001_Li-F_0.90                         -219.291372       79.207902       -2.068301      -31.715037     -173.866808
001_Li-F_0.95                         -209.887591       59.754403       -1.587618      -26.930309     -178.651115
001_Li-F_1.00                         -201.102728       45.374914       -1.233121      -23.347860     -180.308794
001_Li-F_1.05                         -192.893179       34.662195       -0.967291      -20.605537     -179.803812
001_Li-F_1.10                         -185.219262       26.624133       -0.765090      -18.450632     -177.810851
001_Li-F_1.20                         -171.329696       15.940879       -0.488229      -15.256314     -171.133360
001_Li-F_1.30                         -159.151062        9.706830       -0.317979      -12.924652     -162.686863
001_Li-F_1.40                         -148.430529        5.991175       -0.210553      -11.066202     -153.716109
001_Li-F_1.50                         -138.952255        3.737322       -0.141603       -9.501135     -144.857670
001_Li-F_2.00                         -104.787045        0.396296       -0.024798       -4.240069     -108.655617
002_Li-Cl_0.80                        -180.813559      108.200778       -2.830156      -47.430906     -122.873843
002_Li-Cl_0.90                        -168.911406       57.675727       -1.553433      -34.236043     -147.025155
002_Li-Cl_0.95                        -162.647766       42.336107       -1.164558      -29.885996     -151.362214
002_Li-Cl_1.00                        -156.460359       31.194468       -0.880530      -26.486090     -152.632511
002_Li-Cl_1.05                        -150.457513       23.071812       -0.671477      -23.761826     -151.819003
002_Li-Cl_1.10                        -144.700800       17.123174       -0.515894      -21.515981     -149.609500
002_Li-Cl_1.20                        -134.034524        9.532538       -0.310234      -17.963784     -142.776004
002_Li-Cl_1.30                        -124.525464        5.374407       -0.190631      -15.178814     -134.520502
002_Li-Cl_1.40                        -116.099531        3.064510       -0.119664      -12.864478     -126.019164
002_Li-Cl_1.50                        -108.636140        1.765013       -0.076991      -10.887167     -117.835285
002_Li-Cl_2.00                         -81.792684        0.126154       -0.011700       -4.483591      -86.161821
003_Li-Br_0.80                        -165.627954      102.089247       -2.582430      -47.503805     -113.624942
003_Li-Br_0.90                        -156.405880       54.310229       -1.409800      -35.288861     -138.794311
003_Li-Br_0.95                        -151.075534       39.767962       -1.052697      -31.170191     -143.530460
003_Li-Br_1.00                        -145.647726       29.208248       -0.792583      -27.896807     -145.128868
003_Li-Br_1.05                        -140.276846       21.515032       -0.601789      -25.224659     -144.588262
003_Li-Br_1.10                        -135.056561       15.900877       -0.460460      -22.984177     -142.600321
003_Li-Br_1.20                        -125.259692        8.762821       -0.274734      -19.350151     -136.121756
003_Li-Br_1.30                        -116.436492        4.882559       -0.167807      -16.422060     -128.143801
003_Li-Br_1.40                        -108.577292        2.749364       -0.105060      -13.945571     -119.878558
003_Li-Br_1.50                        -101.598859        1.562656       -0.067659      -11.808246     -111.912107
003_Li-Br_2.00                         -76.477625        0.103266       -0.010001       -4.853510      -81.237869
004_Na-F_0.80                         -242.959471      151.026188       -2.999548      -15.822509     -110.755340
004_Na-F_0.90                         -203.747176       74.998576       -1.657155      -12.386806     -142.792561
004_Na-F_0.95                         -189.647258       53.559333       -1.258323      -11.342877     -148.689124
004_Na-F_1.00                         -177.866897       38.555946       -0.962504      -10.524547     -150.798002
004_Na-F_1.05                         -167.801042       27.951432       -0.745383       -9.841370     -150.436364
004_Na-F_1.10                         -159.046209       20.389966       -0.585058       -9.242503     -148.483805
004_Na-F_1.20                         -144.453077       11.036239       -0.378252       -8.169001     -141.964091
004_Na-F_1.30                         -132.666038        6.098611       -0.255372       -7.138608     -133.961407
004_Na-F_1.40                         -122.849587        3.431995       -0.175987       -6.126418     -125.719997
004_Na-F_1.50                         -114.484186        1.960791       -0.121485       -5.166721     -117.811601
004_Na-F_2.00                          -85.668919        0.139328       -0.020547       -1.911869      -87.462007
005_Na-Cl_0.80                        -196.827710      122.789890       -1.981942      -18.330054      -94.349817
005_Na-Cl_0.90                        -165.407206       58.893956       -1.187459      -15.357610     -123.058318
005_Na-Cl_0.95                        -154.077350       41.103140       -0.930533      -14.299281     -128.204024
005_Na-Cl_1.00                        -144.619788       28.844065       -0.734397      -13.382341     -129.892461
005_Na-Cl_1.05                        -136.561895       20.359306       -0.584788      -12.552911     -129.340288
005_Na-Cl_1.10                        -129.565236       14.446314       -0.470316      -11.772433     -127.361671
005_Na-Cl_1.20                        -117.868718        7.366284       -0.309442      -10.268122     -121.079999
005_Na-Cl_1.30                        -108.357390        3.811888       -0.203975       -8.813757     -113.563234
005_Na-Cl_1.40                        -100.395324        1.998708       -0.133997       -7.446430     -105.977042
005_Na-Cl_1.50                         -93.589186        1.060748       -0.088269       -6.208146      -98.824852
005_Na-Cl_2.00                         -70.081953        0.052979       -0.013282       -2.260086      -72.302343
006_Na-Br_0.80                        -184.330629      116.446114       -1.752429      -19.743263      -89.380207
006_Na-Br_0.90                        -155.422629       55.868834       -1.094921      -16.878211     -117.526927
006_Na-Br_0.95                        -144.899264       38.932874       -0.870578      -15.795308     -122.632276
006_Na-Br_1.00                        -136.083503       27.255264       -0.696076      -14.832919     -124.357235
006_Na-Br_1.05                        -128.559641       19.176928       -0.560601      -13.943790     -123.887105
006_Na-Br_1.10                        -122.016095       13.557943       -0.453772      -13.088719     -122.000643
006_Na-Br_1.20                        -111.050877        6.860437       -0.297172      -11.409672     -115.897284
006_Na-Br_1.30                        -102.110004        3.519392       -0.192833       -9.777489     -108.560934
006_Na-Br_1.40                         -94.611895        1.827132       -0.124957       -8.250102     -101.159822
006_Na-Br_1.50                         -88.197149        0.958619       -0.081454       -6.873729      -94.193713
006_Na-Br_2.00                         -66.049197        0.044214       -0.011931       -2.508769      -68.525683
007_K-F_0.80                          -272.076237      233.438452      -12.226565      -58.681439     -109.545789
007_K-F_0.90                          -208.297544      114.194982       -7.320672      -32.195902     -133.619137
007_K-F_0.95                          -187.692888       80.469952       -5.707641      -25.017004     -137.947581
007_K-F_1.00                          -171.675242       57.010679       -4.467653      -20.019007     -139.151223
007_K-F_1.05                          -158.902823       40.609680       -3.512515      -16.427994     -138.233652
007_K-F_1.10                          -148.464170       29.080131       -2.773054      -13.755672     -135.912765
007_K-F_1.20                          -132.290637       15.133051       -1.749292      -10.078457     -128.985336
007_K-F_1.30                          -120.142467        8.021799       -1.139480       -7.720066     -120.980213
007_K-F_1.40                          -110.528914        4.322536       -0.770003       -6.080392     -113.056773
007_K-F_1.50                          -102.624035        2.362470       -0.532453       -4.829584     -105.623602
007_K-F_2.00                           -76.456134        0.128889       -0.093559       -1.502866      -77.923670
008_K-Cl_0.80                         -221.576400      189.816986      -10.035567      -37.740319      -79.535300
008_K-Cl_0.90                         -168.764352       88.283423       -5.836472      -22.399987     -108.717388
008_K-Cl_0.95                         -152.077207       60.490085       -4.499413      -18.130933     -114.217467
008_K-Cl_1.00                         -139.247133       41.598320       -3.489272      -15.094037     -116.232122
008_K-Cl_1.05                         -129.103581       28.719095       -2.722709      -12.856519     -115.963714
008_K-Cl_1.10                         -120.860207       19.908942       -2.138977      -11.146095     -114.236338
008_K-Cl_1.20                         -108.125536        9.686269       -1.353036       -8.692334     -108.484637
008_K-Cl_1.30                          -98.535186        4.783550       -0.884756       -6.970207     -101.606600
008_K-Cl_1.40                          -90.880049        2.393989       -0.591043       -5.635429      -94.712533
008_K-Cl_1.50                          -84.518348        1.212916       -0.398551       -4.547918      -88.251900
008_K-Cl_2.00                          -63.098729        0.047177       -0.063312       -1.505600      -64.620464
009_K-Br_0.80                         -208.551043      179.039054       -9.242992      -34.465353      -73.220335
009_K-Br_0.90                         -158.814359       82.847902       -5.450358      -21.266777     -102.683593
009_K-Br_0.95                         -143.159847       56.598609       -4.220520      -17.536161     -108.317920
009_K-Br_1.00                         -131.125694       38.789470       -3.283942      -14.850064     -110.470229
009_K-Br_1.05                         -121.611311       26.674430       -2.566913      -12.839453     -110.343247
009_K-Br_1.10                         -113.881541       18.411640       -2.017539      -11.272512     -108.759951
009_K-Br_1.20                         -101.946354        8.875228       -1.280469       -8.955893     -103.307488
009_K-Br_1.30                          -92.956906        4.337287       -0.839702       -7.260971      -96.720293
009_K-Br_1.40                          -85.766863        2.144127       -0.558237       -5.907941      -90.088914
009_K-Br_1.50                          -79.777883        1.071236       -0.373137       -4.789180      -83.868963
009_K-Br_2.00                          -59.586940        0.038533       -0.057566       -1.599188      -61.205160
010_Li-Water_0.80                      -47.731831       60.188581       -2.081172      -25.685720      -15.310142
010_Li-Water_0.90                      -39.283697       28.251511       -1.087790      -18.176438      -30.296414
010_Li-Water_0.95                      -35.823273       19.382613       -0.797624      -15.717985      -32.956269
010_Li-Water_1.00                      -32.778046       13.307362       -0.590251      -13.750590      -33.811524
010_Li-Water_1.05                      -30.088718        9.143184       -0.440944      -12.118981      -33.505459
010_Li-Water_1.10                      -27.704963        6.286217       -0.332387      -10.725803      -32.476936
010_Li-Water_1.20                      -23.691168        2.976924       -0.193476       -8.438750      -29.346470
010_Li-Water_1.30                      -20.470858        1.412461       -0.115641       -6.635607      -25.809645
010_Li-Water_1.40                      -17.853079        0.670825       -0.070784       -5.205563      -22.458601
010_Li-Water_1.50                      -15.699182        0.318690       -0.044415       -4.080078      -19.504986
010_Li-Water_2.00                       -9.094010        0.008069       -0.006553       -1.294637      -10.387131
011_Na-Water_0.80                      -51.313414       66.742368       -2.030060      -10.268466        3.130427
011_Na-Water_0.90                      -35.437146       27.545473       -1.001111       -8.313536      -17.206321
011_Na-Water_0.95                      -30.535252       17.717891       -0.721228       -7.555073      -21.093662
011_Na-Water_1.00                      -26.792623       11.401978       -0.529827       -6.852154      -22.772626
011_Na-Water_1.05                      -23.845146        7.336488       -0.396343       -6.185048      -23.090049
011_Na-Water_1.10                      -21.461333        4.717860       -0.302031       -5.552570      -22.598073
011_Na-Water_1.20                      -17.832874        1.948917       -0.183762       -4.408967      -20.476687
011_Na-Water_1.30                      -15.182460        0.806198       -0.116109       -3.447754      -17.940126
011_Na-Water_1.40                      -13.139661        0.334869       -0.074351       -2.673749      -15.552892
011_Na-Water_1.50                      -11.504959        0.139981       -0.048033       -2.070377      -13.483388
011_Na-Water_2.00                       -6.604266        0.002030       -0.007213       -0.642912       -7.252361
012_K-Water_0.80                       -56.193009       92.056260       -7.274048      -16.450058       12.139145
012_K-Water_0.90                       -33.479664       36.637319       -3.885284       -9.135418       -9.863047
012_K-Water_0.95                       -27.323902       23.019975       -2.889550       -7.233838      -14.427315
012_K-Water_1.00                       -23.009032       14.435176       -2.171525       -5.894415      -16.639795
012_K-Water_1.05                       -19.876872        9.034221       -1.646185       -4.897192      -17.386028
012_K-Water_1.10                       -17.518701        5.642876       -1.253459       -4.119050      -17.248333
012_K-Water_1.20                       -14.196236        2.187362       -0.736510       -2.975044      -15.720429
012_K-Water_1.30                       -11.931812        0.841607       -0.448952       -2.190160      -13.729317
012_K-Water_1.40                       -10.260557        0.323625       -0.285709       -1.637633      -11.860274
